max_abs_dV,exact_ln_ratio,lower,upper,first_order,force_rmse
3.000000000000000000e+00,-1.336464095310948286e-01,-2.088018084819395215e-01,2.287483268511262269e-01,1.534966958986093422e-01,5.434685099034998856e+00
3.000000000000000000e+00,-2.176712490728936744e-02,-1.021145044128844714e-01,5.516142466175100179e-04,-8.645694193735120603e-03,2.633912992043086376e+00
3.000000000000000000e+00,-3.286224110174777724e-02,-9.019638930782908348e-02,3.112263486217772823e-01,1.547190713947319551e-01,4.539047736412273437e+00
3.000000000000000000e+00,-2.911267740782278457e-01,-3.783281117022336271e-01,-4.877542160787884384e-02,-4.318058484121800600e-02,6.845902829520439603e+00
3.000000000000000000e+00,-1.706419766427683463e-02,-3.541136685509622128e-01,2.156295980452042071e-01,1.720980946732807715e-01,1.074740198404615299e+01
3.000000000000000000e+00,-1.783013122377244131e-01,-3.153851632022007800e-01,3.452280486598707787e-02,-1.958022315344052494e-02,7.326135420934989817e+00
3.000000000000000000e+00,-5.146693621885777697e-02,-1.845300290227247231e-01,-4.218085507734771478e-02,-6.974970351909443034e-02,2.401433951099978703e+00
3.000000000000000000e+00,-8.868261241595254418e-02,-1.785421086442592065e-01,2.194219439039799546e-01,7.990008793185367220e-02,5.673506118331049564e+00
3.000000000000000000e+00,-6.823732042336319581e-02,-3.030489992016792700e-01,-4.907842958594922644e-02,-9.566627257516788219e-02,3.607211622042941102e+00
3.000000000000000000e+00,-3.170595808481023736e-01,-6.750196335572954398e-01,-7.703569970719142956e-02,-1.611017342298717292e-01,6.220633742383881781e+00
3.000000000000000000e+00,-1.413642815780879192e-01,-2.892178042376640779e-01,-2.228891049216857878e-02,-5.117760822326689052e-02,4.734990024706851486e+00
3.000000000000000000e+00,-5.181789285168679760e-01,-5.695086581741424236e-01,6.894728337037869803e-02,3.456504066045640311e-03,8.474136469457739906e+00
3.000000000000000000e+00,-1.517251180107710706e-01,-7.891585949548001189e-01,2.185475005655403979e-01,2.491507933463940616e-01,7.618225981458873974e+00
3.000000000000000000e+00,-2.369073827262608428e-02,-1.055014011660187212e-01,-1.285382973569892603e-02,-2.739215744121457907e-02,4.653916071469922144e+00
3.000000000000000000e+00,-1.764354961615339779e-01,-3.280338710570263050e-01,1.340325883759065917e-01,2.626380648798466444e-01,7.422617173408270652e+00
3.000000000000000000e+00,2.315469758503645517e-02,3.033696318724861396e-03,2.873284106818425887e-02,1.993765151033718291e-02,2.284257428754007613e+00
3.000000000000000000e+00,-3.320803564188634094e-01,-3.543874149428890563e-01,-1.709071771107528170e-01,-1.426726495109179593e-01,6.323913016953241595e+00
3.000000000000000000e+00,-3.685138228576380626e-01,-5.070769046799241675e-01,2.827003434815140714e-01,2.233995630564017398e-01,7.128061467906966264e+00
3.000000000000000000e+00,-2.811734846122908582e-01,-3.224982222762383666e-01,2.575957582407800706e-01,2.335830512934548575e-01,4.706939319615647044e+00
3.000000000000000000e+00,-3.392525672972560025e-02,-4.236606045464300779e-02,-3.225418866497164333e-02,-3.194819953942204527e-02,1.262568490256171572e+00
3.000000000000000000e+00,4.524966062089379876e-02,-1.521236047999313667e-01,3.258237777361270293e-01,1.012696683301646805e-01,4.329311065972749617e+00
3.000000000000000000e+00,-6.154905424501313366e-02,-1.633437904473686864e-01,1.827518549132650105e-01,3.983958753064469338e-01,9.148256922941074620e+00
6.000000000000000000e+00,5.134586183471035598e-02,-9.573265545499451967e-01,5.531739406907091317e-01,2.217965997808982737e-01,1.141105030883129778e+01
6.000000000000000000e+00,-1.131296117211503804e-01,-1.284680584303286688e+00,-7.459827891575906977e-02,-2.009603399623656195e-01,7.829786011990851335e+00
6.000000000000000000e+00,-1.933015323415181674e+00,-3.520915845671050093e+00,-1.348359693250986702e-01,-3.066970848966387719e-01,1.889950920335492057e+01
