exact_ln_ratio,signed_pred_true_phi,squared_Ldyn_over_lambda,force_rmse,signed_pred_model_phi,max_abs_dV
5.506878363561939875e-03,5.563092611836727500e-03,2.125904159282713479e+00,9.999999999999999167e-02,5.450072736906503949e-03,3.110060514979003099e-02
5.687841303992523245e-02,5.709649445480734914e-02,1.984674624626213202e+01,1.000000000000000056e-01,5.665947995375293644e-02,1.409926034779933335e-01
-8.892756191321045389e-02,-8.915263315321050874e-02,2.384279045021885679e+01,9.999999999999999167e-02,-8.869320806551864167e-02,1.029902374915031699e-01
-6.974475986507293335e-03,-6.976318707870318367e-03,6.765294458076003714e+00,1.000000000000000056e-01,-6.972769993820700403e-03,4.854222247656987677e-02
-2.183325853591295152e-03,-2.166623857312427112e-03,8.343126394665870693e-01,1.000000000000000056e-01,-2.201191713055862965e-03,5.165853380562465680e-02
-8.742535673667119547e-03,-8.754363107418642806e-03,5.681620326080681904e-01,1.000000000000000056e-01,-8.730630465918261945e-03,3.356031428469049421e-02
3.952008701756087178e-02,3.951960578208493086e-02,2.095251161371821880e+00,1.000000000000000194e-01,3.951960896381054994e-02,4.256011028475205349e-02
-1.375523103134324021e-03,-1.363357825012409454e-03,2.126831456362554204e-02,1.000000000000000056e-01,-1.388408851239833659e-03,1.348101752459089295e-02
-3.505894397526720385e-01,-3.509966763873350604e-01,3.563243290143958575e+01,9.999999999999999167e-02,-3.501521759768142505e-01,4.520502459642906645e-01
-4.568699044508131189e-04,-4.465382003800009081e-04,1.485819616184626435e+00,1.000000000000000056e-01,-4.674366824153010271e-04,9.554605256420869649e-03
-3.215473264750497834e-04,-3.042049249744001641e-04,3.001118816709471560e+00,1.000000000000000056e-01,-3.395077074185442762e-04,1.175932913875595530e-02
1.298019894842550592e-01,1.472251644641758006e-01,1.403470606258136399e+02,1.000000000000000056e-01,1.141641023967031876e-01,7.624750121602817954e-01
-8.172406134784981901e-03,-8.472990259133865096e-03,6.481735288347608481e+00,9.999999999999999167e-02,-7.871433891485217840e-03,6.554097186688991050e-02
