exact,lower,upper,var_nu
-2.002955932136550946e-02,-2.002946080265727291e-02,-2.002181558283026505e-02,7.644890795502211789e-06
-1.139356956865910514e-02,-1.139384267787720874e-02,-1.139382840510753600e-02,1.427202453166381861e-08
-1.069264183728143918e-03,-1.069603920740012796e-03,-1.019860739442484494e-03,4.974192881051976467e-05
-6.559809142484697431e-02,-6.559725301830723887e-02,-6.498147488835825936e-02,6.157887194192740790e-04
1.070440875138541359e-01,1.070428581549741354e-01,1.078458431143455298e-01,8.030282470839819739e-04
-1.077370307422459650e+00,-1.077476278507965013e+00,1.362766253198024025e+00,3.216143115735777158e+00
2.217512280117678661e-02,2.217472929905532283e-02,2.555993796866920867e-02,3.384860034245877353e-03
1.037461433895685986e-02,1.037429279482469935e-02,1.037429314575141932e-02,3.509101912048564940e-10
-1.944213392587897452e-02,-1.944231171169516839e-02,-1.942892176247923430e-02,1.338980230463993847e-05
-1.895124121322161502e-03,-1.895308908388455230e-03,-1.895269278961885916e-03,3.962941473952020337e-08
-3.185050264596612016e-03,-3.185462096396258613e-03,-3.171394208129595712e-03,1.406756959871173959e-05
-7.841939895736024443e-03,-7.841960298970570772e-03,-7.841607430223567279e-03,3.528686833993000627e-07
-1.143558819774337237e-01,-1.143543422752940630e-01,-1.129417008186401616e-01,1.412848394003535929e-03
1.773838884898532725e-02,1.773742788176355112e-02,1.812134309343030325e-02,3.839108985334908864e-04
2.022303438003116016e-02,2.022289202274564490e-02,2.049490085532986589e-02,2.719897327944471258e-04
-3.823607416702411166e-02,-3.823647526614301628e-02,-3.805494414127410380e-02,1.815309405380784960e-04
5.986562183836245665e-02,5.986372615375210732e-02,6.256235038129460968e-02,2.698148988052886943e-03
2.336975092916623087e+00,2.335100340542762165e+00,5.992270137664135632e+00,4.965472009657418084e+00
-2.944069295960040009e-02,-2.944050354518071982e-02,-2.910872334940077175e-02,3.317928843102827940e-04
7.224249855848252633e-02,7.224098346469703946e-02,7.266878190226930267e-02,4.278005478006119367e-04
1.859580430177928956e-02,1.859535935653944261e-02,1.937725343157360378e-02,7.819631225993762830e-04
-9.521956752138782676e-02,-9.521883717106999212e-02,-9.501594991100406618e-02,2.028575873240943874e-04
3.532758645365277617e-02,3.532583153212630334e-02,3.657450026838597601e-02,1.248546174537415237e-03
4.403424539243829244e-04,4.403409289885478199e-04,4.514390150870930727e-04,1.109808027783176689e-05
3.225581262951076056e-01,3.225512480228502343e-01,3.366685200128095024e-01,1.413745753769041907e-02
5.449365946832929880e-02,5.449380781469435192e-02,6.373061913875624485e-02,9.204036697229937489e-03
-9.991054872854048668e-03,-9.991287954150863959e-03,-9.985349316827313651e-03,5.938576871550939711e-06
-1.632133656831123436e-01,-1.632107269321463050e-01,-1.589267131669335753e-01,4.285086618251167725e-03
-1.946090570575460810e-02,-1.946286342580157147e-02,-1.294876022300397306e-02,6.507494943643341370e-03
6.895478718332750511e-04,6.891978734669816945e-04,6.899347760693832479e-04,7.368959865404179642e-07
-1.438469172081282277e-01,-1.438454289470987302e-01,-1.430759594833104775e-01,7.693836660171232905e-04
-2.209580067942729293e-04,-2.216106928157843845e-04,-5.503133332981210508e-05,1.665800560909212356e-04
-1.330433142379778763e-03,-1.330904832979015783e-03,-1.330898548985000752e-03,6.283924959228826255e-09
-7.931633185569959138e-03,-7.932082016682173026e-03,-7.932080815420470069e-03,1.201218869311687550e-09
-1.584787492566204839e-02,-1.584845048657995345e-02,-1.506868796888260684e-02,7.796895115516072486e-04
-1.397186673571041045e-02,-1.397254147843959154e-02,-1.355060241979359759e-02,4.219583486006248758e-04
1.012910822553727760e-02,1.012881659675045863e-02,1.012914220671660114e-02,3.256077448688869639e-07
1.464146650822185647e-01,1.464125931479620946e-01,1.464976204276852989e-01,8.501426684350113549e-05
-8.107805076284420667e-03,-8.107973142943298780e-03,-8.099496966095406231e-03,8.476170229886229133e-06
1.983156995588251925e-02,1.983088378917463590e-02,1.991323397389637567e-02,8.234994377541936771e-05
-3.671347425641797280e+00,-3.672032371845790344e+00,-2.182988570034374021e-01,4.839991689906367967e+00
-1.859452130175359794e-03,-1.859231982895472729e-03,-1.573460234115824433e-03,2.856151569610899813e-04
-3.035582197179247316e-04,-3.038922727796542758e-04,-3.029802865579179138e-04,9.119861416037021197e-07
-6.575810657642582610e-04,-6.579113451075546855e-04,-6.540272474101050488e-04,3.884097119558471729e-06
3.296983959522477026e-01,3.296919574669506248e-01,3.360532088959954922e-01,6.351306967296863407e-03
-1.472913546813830066e-03,-1.473623728858714779e-03,-1.411826937947724620e-03,6.179579066417215571e-05
1.068002001649168420e-01,1.067984624274199990e-01,1.072254318246511906e-01,4.269743528136038481e-04
8.239336881868458695e-02,8.238810620614628322e-02,9.080953951744104302e-02,8.423854088898978174e-03
5.938913890007006986e-03,5.938347174950666871e-03,5.950633914629301427e-03,1.228662652572590448e-05
1.268978642481424890e+00,1.268899722248903350e+00,1.953457674927513876e+00,7.332156490252408343e-01
4.147910392710787292e-02,4.147837466720442900e-02,4.151443765111082623e-02,3.605260847901726692e-05
4.856619708804141636e-03,4.852056788884850230e-03,1.542987578219633810e-02,1.057769781257211425e-02
1.794007014690481364e-02,1.793982014298893535e-02,1.796662568035702068e-02,2.680468332429832189e-05
-4.360495551471648551e-03,-4.360850229779977480e-03,-4.352669522236796325e-03,8.180693792059914675e-06
4.712835587660398756e-02,4.712739219365950222e-02,4.719094122330281388e-02,6.354924550133112156e-05
-2.319020789589474815e-02,-2.319036702440433959e-02,-2.319035482060240183e-02,1.220279541045522987e-08
-1.393833071559995307e-01,-1.393817569409952495e-01,-1.387000912512648676e-01,6.816141969488648603e-04
