t,abs_corr_error,pinsker_bound
7.438969022248308249e+00,1.634413952010449478e-02,1.203793328228621173e-01
8.813355375342442954e+00,1.927588387594403319e-02,1.310286293540742775e-01
1.044166641099971216e+01,2.271301643610135201e-02,1.426200104935851920e-01
1.237081597136474365e+01,2.673471964708307169e-02,1.552368172777338629e-01
1.465638546316294821e+01,3.142936785104966102e-02,1.689697634653059000e-01
1.736422523316513633e+01,3.689421704276241165e-02,1.839175877616793797e-01
2.057235180569684019e+01,4.323434418389138223e-02,2.001877637416495381e-01
2.437319564416946349e+01,5.056049007224305836e-02,2.178972725752139628e-01
2.887626419768195518e+01,5.898535504699042864e-02,2.371734441121534365e-01
3.421129695866527953e+01,6.861778011713914882e-02,2.581548723727320471e-01
4.053200343304571618e+01,7.955412995109800711e-02,2.809924120268174064e-01
4.802049171890044477e+01,9.186610375370329873e-02,3.058502630260200306e-01
5.689251528694315851e+01,1.055841800532275609e-01,3.329071511872638278e-01
6.740368912967838355e+01,1.206760242062054900e-01,3.623576132160827301e-01
7.985685437488467642e+01,1.370195610695964517e-01,3.944133954088501759e-01
9.461080354789731928e+01,1.543711870184865109e-01,4.293049760904917855e-01
1.120906178692910231e+02,1.723309421709673384e-01,4.672832227338751254e-01
1.327999144194843666e+02,1.903085547099808705e-01,5.086211956754264074e-01
1.573353560276343046e+02,2.074971806812692665e-01,5.536161113955329061e-01
1.864038419343320356e+02,2.228652196943116115e-01,6.025914794795459439e-01
2.208428745143378933e+02,2.351801237008268597e-01,6.558994286239596683e-01
2.616446888521598453e+02,2.430801903627183291e-01,7.139232384115362651e-01
3.099848403761795339e+02,2.452085359531931963e-01,7.770800950586422839e-01
3.672560741996964566e+02,2.404146115980017040e-01,8.458240909483615289e-01
4.351084519904080707e+02,2.280099259715733240e-01,9.206494895157928404e-01
5.154968924776611630e+02,2.080359465293625532e-01,1.002094278959755558e+00
6.107374953037765408e+02,1.814695465193630897e-01,1.090744040331808273e+00
7.235742709857266846e+02,1.502699157771078264e-01,1.187236157813787774e+00
8.572581995675734561e+02,1.171827798587615488e-01,1.292264401455413880e+00
1.015640895750334948e+03,8.528140831854172377e-02,1.406583915321456768e+00
1.203285579118255555e+03,5.733376573107964308e-02,1.531016646912794599e+00
1.425598546663761681e+03,3.519566105666754180e-02,1.666457256898466133e+00
1.688984935512215088e+03,1.946597411039347955e-02,1.813879551649145050e+00
2.001033263581203073e+03,9.548685512812354545e-03,1.974343484821446948e+00
2.370734065040140194e+03,4.076812564327811882e-03,2.000000000000000000e+00
2.808738919753429400e+03,1.480807326786762147e-03,2.000000000000000000e+00
3.327667339695523424e+03,4.450497159809611381e-04,2.000000000000000000e+00
3.942470354150380444e+03,1.070065759487776551e-04,2.000000000000000000e+00
4.670861269076501230e+03,1.976450259198930993e-05,2.000000000000000000e+00
5.533826011396995455e+03,2.671727057312139239e-06,2.000000000000000000e+00
6.556227761923811158e+03,2.495276773872579866e-07,2.000000000000000000e+00
