frame,E0_eV,F_eV,magnetic_moment
f0147,-564.31790638,-564.33732213,1.0000
f0148,-562.76621874,-562.77941687,1.0000
f0234,-564.36616434,-564.38333520,1.0000
f0149,-564.23562966,-564.25632104,1.0000
f0150,-561.77771519,-561.79509392,1.0000
f0235,-563.63499005,-563.65210714,1.0000
f0151,-563.89427442,-563.91333363,1.0000
f0152,-564.66324532,-564.68219736,1.0000
f0236,-561.69894083,-561.71767263,1.0000
f0153,-563.22533110,-563.24321433,1.0000
f0154,-564.98511184,-565.00314321,1.0000
f0237,-564.38872302,-564.40351701,1.0000
f0156,-563.31196800,-563.32976063,1.0000
f0238,-564.29638879,-564.31177226,1.0000
f0157,-563.46370090,-563.48216580,1.0000
f0158,-564.37947007,-564.39469544,1.0000
f0239,-564.67576670,-564.69465958,1.0000
f0159,-564.00876766,-564.02824429,1.0000
f0160,-563.08317692,-563.10041724,1.0000
f0240,-564.31240616,-564.33163069,1.0000
