x,V,nu
-9.858572381587725753e-01,6.310365164708003384e-03,3.574908702429576866e-04
-9.834556370913943857e-01,8.614598983804469534e-03,3.692126535888275922e-04
-9.810540360240160851e-01,1.126979574119259600e-02,3.812563296558660374e-04
-9.786524349566378955e-01,1.427334310704953500e-02,3.936297737728742196e-04
-9.762508338892595949e-01,1.762263513866741890e-02,4.063410798887500796e-04
-9.738492328218812943e-01,2.131507228045268626e-02,4.193985686316435333e-04
-9.714476317545031048e-01,2.534806136392605755e-02,4.328107958285536084e-04
-9.690460306871248042e-01,2.971901560772310241e-02,4.465865605968266194e-04
-9.666444296197466146e-01,3.442535461759346771e-02,4.607349143606233191e-04
-9.642428285523683140e-01,3.946450438640170671e-02,4.752651698217693829e-04
-9.618412274849901245e-01,4.483389729412640134e-02,4.901869102672796151e-04
-9.594396264176118239e-01,5.053097210786124810e-02,5.055099994790224552e-04
-9.570380253502336343e-01,5.655317398181362865e-02,5.212445913055619405e-04
-9.546364242828553337e-01,6.289795445730608781e-02,5.374011404597463324e-04
-9.522348232154770331e-01,6.956277146277521639e-02,5.539904131926053207e-04
-9.498332221480988435e-01,7.654508931377207448e-02,5.710234982975041004e-04
-9.474316210807205429e-01,8.384237871296287836e-02,5.885118182152722323e-04
-9.450300200133423534e-01,9.145211675012708541e-02,6.064671408400818583e-04
-9.426284189459640528e-01,9.937178690216012800e-02,6.249015925083940999e-04
-9.402268178785858632e-01,1.075988790330705408e-01,6.438276693874339651e-04
-9.378252168112075626e-01,1.161308893939823894e-01,6.632582510286576163e-04
-9.354236157438293731e-01,1.249653206231333274e-01,6.832066137914667671e-04
-9.330220146764510725e-01,1.340996817458766088e-01,7.036864445671035329e-04
-9.306204136090727719e-01,1.435314881746788951e-01,7.247118555126625099e-04
-9.282188125416945823e-01,1.532582617091214350e-01,7.462973978775338038e-04
-9.258172114743162817e-01,1.632775305359008000e-01,7.684580774689672971e-04
-9.234156104069380921e-01,1.735868292288269554e-01,7.912093708387075812e-04
-9.210140093395597916e-01,1.841836987488253974e-01,8.145672413819668055e-04
-9.186124082721816020e-01,1.950656864439350713e-01,8.385481558710837762e-04
-9.162108072048033014e-01,2.062303460493107865e-01,8.631691014118953766e-04
