exact,signed,signedhat,absexact,squared
-0.000824131,-0.000801962,-0.000846235,0.000824131,1.24925
-0.0485875,-0.0486988,-0.0484754,0.0485875,8.24724
-0.0413793,-0.039742,-0.0429331,0.0413793,47.8386
0.367283,0.428644,0.310729,0.367283,358.609
-0.0891767,-0.0895127,-0.0888384,0.0891767,8.33798
0.0385273,0.037863,0.0391881,0.0385273,0.388078
-0.00163026,-0.00161336,-0.0016471,0.00163026,6.90379
-0.00147674,-0.00145686,-0.00149736,0.00147674,0.0106847
0.00100464,0.00102683,0.000982077,0.00100464,0.00832209
0.0072203,0.00739619,0.00704585,0.0072203,11.6169
-0.00123529,-0.00119743,-0.00127371,0.00123529,0.109574
0.000971885,0.00100736,0.000936542,0.000971885,5.05916
-0.00394088,-0.00392416,-0.00395753,0.00394088,4.57044
0.0160321,0.018164,0.0139025,0.0160321,97.3019
0.0029109,0.00292325,0.00289828,0.0029109,3.15778
-0.128105,-0.129189,-0.127016,0.128105,17.6811
0.0174348,0.018305,0.016574,0.0174348,27.4307
0.0698074,0.0704604,0.069141,0.0698074,24.8783
-0.000868301,-0.000869384,-0.000866462,0.000868301,8.55705
-0.058251,-0.0570885,-0.0593815,0.058251,36.2051
0.00652393,0.00650548,0.00654237,0.00652393,1.38676
0.00305186,0.00308735,0.00301622,0.00305186,2.3158
0.0291985,0.0286859,0.0297116,0.0291985,4.33574
-0.217768,-0.21749,-0.218042,0.217768,19.4956
-0.00124884,-0.00123628,-0.00126144,0.00124884,4.19012
0.00209625,0.00211999,0.00207174,0.00209625,1.55952
-0.000104522,-4.8406e-05,-0.000160958,0.000104522,20.7909
-0.0204244,-0.0204013,-0.0204485,0.0204244,3.32565
-0.075937,-0.0758012,-0.0760662,0.075937,18.7934
-0.048152,-0.0477869,-0.0485123,0.048152,18.0215
8.55288e-05,0.000172298,-2.12914e-06,0.0001,13.7685
-0.000255705,-0.00023908,-0.000273179,0.000255705,0.00738379
0.0122547,0.0122074,0.0123008,0.0122547,0.400015
-0.0255303,-0.0243994,-0.0267055,0.0255303,32.7501
0.0546672,0.051193,0.0581254,0.0546672,12.7887
0.0233181,0.0229543,0.0236798,0.0233181,4.83118
-2.20304,-1.39218,-2.87593,2.20304,1031.85
-0.11926,0.0983082,-0.324691,0.11926,462.313
0.0135393,0.0133777,0.013699,0.0135393,3.69934
0.00453891,0.00456259,0.00451485,0.00453891,0.0070793
-0.00526575,-0.00514225,-0.00538878,0.00526575,15.4485
0.000452734,0.000463073,0.000441495,0.000452734,1.61372
-0.00378753,-0.00377252,-0.00380267,0.00378753,2.85287
0.433623,0.856772,0.204831,0.433623,1127.72
-0.00365411,-0.00351479,-0.00379239,0.00365411,17.3711
0.186226,0.18348,0.188959,0.186226,17.7363
-0.0417782,-0.0434827,-0.040075,0.0417782,3.09858
0.0974822,0.096334,0.098626,0.0974822,13.3676
0.000377923,0.000389546,0.000366055,0.000377923,0.296665
0.000423994,0.000637579,0.000199732,0.000423994,43.0587
0.0152802,0.0169961,0.0135637,0.0152802,90.8557
-0.0444286,-0.0448339,-0.0440225,0.0444286,3.12546
0.0502552,0.0521571,0.0483259,0.0502552,38.989
0.00145868,0.00146857,0.00144775,0.00145868,2.17849
-0.0155472,-0.0149577,-0.016132,0.0155472,52.4985
-0.000536124,-0.000503968,-0.000568307,0.000536124,0.27472
-0.0132863,-0.0130538,-0.013522,0.0132863,18.4218
-0.00407374,-0.00405938,-0.00408833,0.00407374,1.66254
0.0723396,0.0693114,0.0753577,0.0723396,8.26908
-0.00329578,-0.00324284,-0.00335007,0.00329578,6.87054
0.0162909,0.0164544,0.0161265,0.0162909,14.3366
0.00655857,0.00658657,0.00652951,0.00655857,13.4274
-0.0137068,-0.013626,-0.0137884,0.0137068,8.0872
0.013788,0.0138444,0.0137305,0.013788,8.91238
7.65228e-05,8.96392e-05,6.27938e-05,0.0001,6.17634
-0.00396623,-0.00386214,-0.00407064,0.00396623,21.8196
-0.000400888,-0.000392546,-0.00041006,0.000400888,1.24535
-0.0720078,-0.0727492,-0.0712673,0.0720078,12.8341
0.00969835,0.00973623,0.00966013,0.00969835,22.977
0.003187,0.00322274,0.00315003,0.003187,1.1246
0.00274183,0.00275417,0.00272844,0.00274183,0.649119
-0.0121973,-0.0122492,-0.0121464,0.0121973,0.031838
0.0693699,0.0692225,0.0695158,0.0693699,13.2186
0.0112415,0.0112527,0.0112295,0.0112415,7.53982
-0.016057,-0.0158434,-0.0162717,0.016057,11.4582
-0.00417112,-0.00414341,-0.00419946,0.00417112,0.0814295
0.0153326,0.0151918,0.0154722,0.0153326,1.17824
0.00144991,0.00205183,0.000847658,0.00144991,53.4479
-0.0141825,-0.0133363,-0.0150301,0.0141825,74.2767
0.014033,0.0137077,0.014357,0.014033,8.63596
0.0005759,0.000591424,0.000559727,0.0005759,0.014766
0.000963483,0.00121056,0.000714537,0.000963483,26.8098
