s,nu_eq,nu_path
3.775000000000000022e-01,3.469384929980085519e-01,6.406943361229241463e-01
3.800000000000000044e-01,3.612063082941290304e-01,6.265126121295014894e-01
3.825000000000000067e-01,3.758224811944678723e-01,6.265126121295017114e-01
3.850000000000000089e-01,3.907776062175044585e-01,6.406943361229242573e-01
3.875000000000000111e-01,4.060607770713857700e-01,6.551970772699232670e-01
3.900000000000000133e-01,4.216595454720015179e-01,6.700281021068479337e-01
3.925000000000000155e-01,4.375598857550447862e-01,6.851948416551844057e-01
3.950000000000000178e-01,4.537461658834840983e-01,6.976380227052579874e-01
3.974999999999999645e-01,4.702011254392404749e-01,7.071982726376330186e-01
4.000000000000000222e-01,4.869058611687158145e-01,7.168895337474310292e-01
4.024999999999999689e-01,5.038398206258813961e-01,7.267136013777368841e-01
4.050000000000000266e-01,5.209808044238630753e-01,7.366722954745508201e-01
4.074999999999999734e-01,5.383049775660484482e-01,7.227313837590558787e-01
4.100000000000000311e-01,5.557868902809697254e-01,6.862320824033035782e-01
4.124999999999999778e-01,5.733995087313263905e-01,6.515760647756358992e-01
4.150000000000000355e-01,5.911142559070107216e-01,6.186702415626653684e-01
4.174999999999999822e-01,6.089010629448596834e-01,5.874262246373412877e-01
4.200000000000000400e-01,6.267284310447204243e-01,5.724009990476017773e-01
4.224999999999999867e-01,6.445635040725112841e-01,5.724009990476017773e-01
4.250000000000000444e-01,6.623721518570888644e-01,5.724009990476017773e-01
4.274999999999999911e-01,6.801190640993330927e-01,5.724009990476017773e-01
4.299999999999999933e-01,6.977678547199833714e-01,5.724009990476017773e-01
4.324999999999999956e-01,7.152811763779399756e-01,5.654260743491436036e-01
4.349999999999999978e-01,7.326208447942264002e-01,5.517301656515803954e-01
4.375000000000000000e-01,7.497479724193664152e-01,5.383660030894742432e-01
4.400000000000000022e-01,7.666231108847900710e-01,5.253255510150400820e-01
4.425000000000000044e-01,7.832064015830628723e-01,5.126009684222034846e-01
4.450000000000000067e-01,7.994577336284677260e-01,5.008554526335501356e-01
4.475000000000000089e-01,8.153369083598300815e-01,4.900354244880638088e-01
4.500000000000000111e-01,8.308038094627748782e-01,4.794491424432809623e-01
4.525000000000000133e-01,8.458185777098232716e-01,4.690915568598788554e-01
4.550000000000000155e-01,8.603417892451740157e-01,4.589577271863753416e-01
4.575000000000000178e-01,8.743346362776205360e-01,4.551642834126751747e-01
4.599999999999999645e-01,8.877591089908679622e-01,4.575558211466470016e-01
4.625000000000000222e-01,9.005781774365169134e-01,4.599599245694073191e-01
4.649999999999999689e-01,9.127559721418616601e-01,4.623766597039724591e-01
4.675000000000000266e-01,9.242579621432361892e-01,4.648060929202587621e-01
4.699999999999999734e-01,9.350511291464216335e-01,4.690153156314486593e-01
4.725000000000000311e-01,9.451041365190556709e-01,4.750524261392647940e-01
4.749999999999999778e-01,9.543874918362925674e-01,4.811672456302820144e-01
4.775000000000000355e-01,9.628737017303312662e-01,4.873607743654804203e-01
4.799999999999999822e-01,9.705374178366834581e-01,4.936340254810817618e-01
4.825000000000000400e-01,9.773555726851068659e-01,5.022738536946648180e-01
4.849999999999999867e-01,9.833075044503621909e-01,5.134013699072245140e-01
4.875000000000000444e-01,9.883750695571357214e-01,5.247754082434228362e-01
4.899999999999999911e-01,9.925427422233823460e-01,5.364014302237172238e-01
4.924999999999999933e-01,9.957977001266463679e-01,5.482850183646265085e-01
4.949999999999999956e-01,9.981298954870977402e-01,5.401898933629613042e-01
4.974999999999999978e-01,9.995321109782308033e-01,5.129914812918010547e-01
5.000000000000000000e-01,1.000000000000000000e+00,4.871625017633108845e-01
5.024999999999999467e-01,9.995321109782308033e-01,4.626340042268480279e-01
5.050000000000000044e-01,9.981298954870977402e-01,4.393405097729666253e-01
5.075000000000000622e-01,9.957977001266463679e-01,4.314029643607523168e-01
5.100000000000000089e-01,9.925427422233823460e-01,4.380091439763886263e-01
5.124999999999999556e-01,9.883750695571357214e-01,4.447164856440258829e-01
5.150000000000000133e-01,9.833075044503621909e-01,4.515265384830285389e-01
5.175000000000000711e-01,9.773555726851058667e-01,4.584408753348058752e-01
5.200000000000000178e-01,9.705374178366845683e-01,4.804240850492766390e-01
5.224999999999999645e-01,9.628737017303304890e-01,5.196460099499888852e-01
5.250000000000000222e-01,9.543874918362925674e-01,5.620700211756618492e-01
5.275000000000000799e-01,9.451041365190556709e-01,6.079575377376872369e-01
5.300000000000000266e-01,9.350511291464224106e-01,6.575913209513738478e-01
5.324999999999999734e-01,9.242579621432361892e-01,6.570172524596467056e-01
5.350000000000000311e-01,9.127559721418616601e-01,6.063667107430845693e-01
5.375000000000000888e-01,9.005781774365169134e-01,5.596209026793709240e-01
5.400000000000000355e-01,8.877591089908679622e-01,5.164788059223890393e-01
5.424999999999999822e-01,8.743346362776205360e-01,4.766626044342892610e-01
5.449999999999999289e-01,8.603417892451754589e-01,4.639038926602600532e-01
5.474999999999999867e-01,8.458185777098232716e-01,4.761056222927962933e-01
5.500000000000000444e-01,8.308038094627748782e-01,4.886282852228993057e-01
5.524999999999999911e-01,8.153369083598300815e-01,5.014803227277143671e-01
5.549999999999999378e-01,7.994577336284685032e-01,5.146703981092147773e-01
5.574999999999999956e-01,7.832064015830634274e-01,5.408653628772639443e-01
5.600000000000000533e-01,7.666231108847907372e-01,5.820145431749264020e-01
