x,V,Vhat_saddle,dV_saddle,Vhat_wiggle,dV_wiggle,Vhat_slope,dV_slope,Vhat_well,dV_well,Vhat_wells,dV_wells,Vhat_ripple,dV_ripple
0.522348,6.34501,6.36131,0.0163063,6.38627,0.0412597,6.52639,0.181387,6.34533,0.000320747,6.34523,0.000226802,6.34132,-0.00368713
0.531955,6.16949,6.18251,0.01302,6.20304,0.0335501,6.34878,0.179297,6.16988,0.000392499,6.16976,0.000277539,6.16702,-0.00246736
0.541561,5.9933,6.00365,0.0103534,6.02046,0.0271606,6.1698,0.176505,5.99377,0.000478338,5.99363,0.000338236,5.99214,-0.00115679
0.551167,5.81657,5.82477,0.00819927,5.83847,0.0218911,5.98962,0.173045,5.81716,0.000580562,5.81699,0.000410519,5.81677,0.000196347
0.560774,5.63946,5.64593,0.00646674,5.65703,0.0175664,5.80842,0.168959,5.64016,0.000701749,5.63996,0.000496212,5.641,0.00154226
0.57038,5.4621,5.46718,0.00507943,5.47613,0.0140342,5.62639,0.164294,5.46294,0.000844761,5.46269,0.000597336,5.46493,0.00283142
0.579987,5.28463,5.2886,0.0039734,5.29579,0.0111632,5.44373,0.159104,5.28564,0.00101275,5.28534,0.000716126,5.28864,0.00401638
0.589593,5.1072,5.11029,0.00309549,5.11604,0.00884079,5.26064,0.153447,5.10841,0.00120919,5.10805,0.000855025,5.11225,0.00505354
0.599199,4.92996,4.93236,0.00240168,4.93693,0.00697101,5.07734,0.147386,4.93139,0.00143781,4.93097,0.00101669,4.93586,0.00590473
0.608806,4.75306,4.75491,0.00185575,4.75853,0.00547277,4.89404,0.140984,4.75476,0.00170266,4.75426,0.00120396,4.7596,0.00653863
0.618412,4.57666,4.57809,0.00142805,4.58093,0.00427789,4.71097,0.134309,4.57867,0.00200805,4.57808,0.0014199,4.58359,0.0069319
0.628019,4.40091,4.402,0.00109442,4.40424,0.0033294,4.52833,0.127426,4.40327,0.00235851,4.40258,0.00166772,4.40798,0.00707009
0.637625,4.22597,4.22681,0.000835304,4.22855,0.00258,4.34637,0.120401,4.22873,0.00275881,4.22792,0.00195077,4.23292,0.0069481
0.647231,4.05201,4.05264,0.000634927,4.054,0.00199064,4.1653,0.113298,4.05522,0.00321383,4.05428,0.00227252,4.05858,0.00657042
0.656838,3.87918,3.87966,0.000480642,3.88071,0.00152929,3.98536,0.106177,3.88291,0.00372859,3.88182,0.00263651,3.88513,0.00595094
0.666444,3.70766,3.70802,0.000362359,3.70883,0.0011698,3.80675,0.0990965,3.71197,0.00430808,3.7107,0.00304627,3.71277,0.00511248
0.676051,3.53761,3.53788,0.000272066,3.5385,0.00089097,3.62972,0.0921097,3.54256,0.00495726,3.54111,0.00350531,3.54169,0.00408588
0.685657,3.3692,3.36941,0.000203436,3.36988,0.000675686,3.45447,0.085265,3.37488,0.00568092,3.37322,0.00401702,3.37211,0.00290891
0.695264,3.20261,3.20277,0.000151496,3.20312,0.000510223,3.28122,0.0786059,3.2091,0.00648357,3.2072,0.00458458,3.20424,0.0016249
0.70487,3.03802,3.03813,0.000112355,3.0384,0.000383629,3.11019,0.0721703,3.04539,0.00736934,3.04323,0.00521091,3.0383,0.000281099
0.714476,2.8756,2.87568,8.29858e-05,2.87589,0.000287211,2.94159,0.0659903,2.88394,0.00834184,2.8815,0.00589857,2.87453,-0.00107305
0.724083,2.71553,2.7156,6.10426e-05,2.71575,0.000214107,2.77563,0.0600926,2.72494,0.00940402,2.72218,0.00664965,2.71315,-0.00238771
0.733689,2.55801,2.55805,4.47179e-05,2.55816,0.000158929,2.6125,0.054498,2.56856,0.0105581,2.56547,0.00746568,2.55439,-0.00361451
0.743296,2.4032,2.40323,3.26248e-05,2.40332,0.000117468,2.45242,0.0492219,2.41501,0.0118052,2.41155,0.00834755,2.39849,-0.00470829
0.752902,2.25131,2.25133,2.37047e-05,2.2514,8.64533e-05,2.29558,0.0442747,2.26446,0.0131456,2.2606,0.00929538,2.24568,-0.00562881
0.762508,2.10252,2.10254,1.71529e-05,2.10258,6.33566e-05,2.14218,0.0396617,2.1171,0.0145784,2.11283,0.0103085,2.09618,-0.00634219
0.772115,1.95703,1.95704,1.23612e-05,1.95708,4.6233e-05,1.99241,0.0353839,1.97313,0.0161011,1.96841,0.0113852,1.95021,-0.00682217
0.781721,1.81503,1.81504,8.87162e-06,1.81506,3.35942e-05,1.84647,0.0314383,1.83274,0.01771,1.82755,0.0125229,1.80798,-0.00705111
0.791328,1.67672,1.67673,6.34109e-06,1.67675,2.43069e-05,1.70454,0.0278183,1.69612,0.0194,1.69044,0.0137179,1.6697,-0.00702056
0.800934,1.54231,1.54231,4.51381e-06,1.54233,1.75125e-05,1.56682,0.0245144,1.56347,0.0211643,1.55727,0.0149654,1.53558,-0.00673166
0.81054,1.41199,1.41199,3.19994e-06,1.412,1.25639e-05,1.4335,0.0215145,1.43498,0.0229946,1.42825,0.0162596,1.40579,-0.00619503
0.820147,1.28597,1.28597,2.25922e-06,1.28598,8.97551e-06,1.30477,0.0188044,1.31085,0.0248808,1.30356,0.0175934,1.28054,-0.00543043
0.829753,1.16446,1.16446,1.58852e-06,1.16447,6.38487e-06,1.18083,0.0163684,1.19127,0.0268116,1.18342,0.0189587,1.15999,-0.00446599
0.83936,1.04767,1.04767,1.11237e-06,1.04767,4.52278e-06,1.06186,0.0141896,1.07644,0.028774,1.06802,0.0203463,1.04433,-0.00333721
0.848966,0.935812,0.935813,7.75749e-07,0.935815,3.19022e-06,0.948063,0.0122506,0.966566,0.0307536,0.957558,0.0217461,0.933727,-0.00208561
0.858572,0.829103,0.829104,5.38782e-07,0.829106,2.24078e-06,0.839636,0.0105332,0.861838,0.0327348,0.85225,0.023147,0.828346,-0.000757263
0.868179,0.727761,0.727761,3.7267e-07,0.727762,1.56726e-06,0.73678,0.00901947,0.762462,0.0347011,0.752298,0.0245374,0.72836,0.00059895
0.877785,0.632005,0.632006,2.56716e-07,0.632006,1.09157e-06,0.639697,0.00769169,0.66864,0.0366349,0.65791,0.0259048,0.633938,0.00193312
0.887392,0.542059,0.54206,1.76117e-07,0.54206,7.57053e-07,0.548592,0.00653252,0.580578,0.0385182,0.569296,0.0272365,0.545256,0.00319615
0.896998,0.458149,0.458149,1.20328e-07,0.458149,5.2284e-07,0.463674,0.00552534,0.498481,0.0403325,0.486668,0.0285194,0.46249,0.00434157
0.906604,0.380501,0.380501,8.18755e-08,0.380501,3.59568e-07,0.385155,0.00465432,0.42256,0.0420595,0.410241,0.0297405,0.385828,0.00532722
0.916211,0.309346,0.309346,5.54828e-08,0.309346,2.46243e-07,0.31325,0.00390456,0.353026,0.0436808,0.340233,0.030887,0.315462,0.00611682
0.925817,0.244916,0.244916,3.7444e-08,0.244916,1.67925e-07,0.248178,0.00326217,0.290095,0.045179,0.276863,0.0319464,0.251598,0.00668133
0.935424,0.187448,0.187448,2.51665e-08,0.187448,1.14036e-07,0.190162,0.00271431,0.233985,0.0465373,0.220355,0.0329068,0.194448,0.00699997
0.94503,0.137178,0.137178,1.68455e-08,0.137178,7.71151e-08,0.139427,0.00224922,0.184918,0.0477402,0.170936,0.0337574,0.144239,0.00706101
0.954636,0.0943469,0.0943469,1.12296e-08,0.094347,5.19291e-08,0.0962031,0.00185619,0.143121,0.0487738,0.128835,0.0344883,0.101209,0.0068622
0.964243,0.0591968,0.0591968,7.45525e-09,0.0591968,3.48223e-08,0.0607223,0.00152557,0.108823,0.0496258,0.0942875,0.0350907,0.0656076,0.00641087
0.973849,0.0319726,0.0319726,4.92923e-09,0.0319726,2.32531e-08,0.0332213,0.00124871,0.0822586,0.050286,0.0675302,0.0355576,0.0376962,0.00572362
0.983456,0.0129219,0.0129219,3.24575e-09,0.0129219,1.54625e-08,0.0139398,0.00101791,0.0636683,0.0507464,0.048805,0.0358831,0.0177476,0.00482574
0.993062,0.00229449,0.00229449,2.12848e-09,0.0022945,1.02389e-08,0.00312086,0.000826367,0.0532959,0.0510014,0.0383579,0.0360634,0.00604477,0.00375028
1.00267,0.000342702,0.000342703,1.39009e-09,0.000342708,6.75164e-09,0.00101083,0.000668125,0.0513906,0.0510479,0.036439,0.0360963,0.0028795,0.0025368
1.01227,0.0073213,0.0073213,9.04137e-10,0.0073213,4.43345e-09,0.00785927,0.000537974,0.0582066,0.0508853,0.0433027,0.0359814,0.00855127,0.00122997
1.02188,0.0234875,0.0234875,5.8566e-10,0.0234875,2.89905e-09,0.0239189,0.000431403,0.0740032,0.0505157,0.0592075,0.03572,0.0233654,-0.000122117
1.03149,0.049101,0.049101,3.77811e-10,0.049101,1.88777e-09,0.0494455,0.000344527,0.0990444,0.0499434,0.0844163,0.0353153,0.0476313,-0.00146971
1.04109,0.0844239,0.0844239,2.4273e-10,0.0844239,1.22412e-09,0.0846979,0.000274021,0.133599,0.0491755,0.119196,0.0347723,0.0816607,-0.00276323
1.0507,0.129721,0.129721,1.55307e-10,0.129721,7.90457e-10,0.129938,0.000217051,0.177942,0.0482213,0.163818,0.0340976,0.125766,-0.00395505
1.06031,0.185259,0.185259,9.89637e-11,0.185259,5.08296e-10,0.18543,0.000171222,0.232351,0.047092,0.218558,0.0332991,0.180257,-0.00500133
1.06991,0.251307,0.251307,6.2803e-11,0.251307,3.2549e-10,0.251442,0.000134516,0.297108,0.0458009,0.283693,0.0323861,0.245444,-0.00586357
1.07952,0.328138,0.328138,3.96921e-11,0.328138,2.0756e-10,0.328243,0.000105247,0.372501,0.0443629,0.359507,0.0313693,0.321628,-0.00651002
1.08913,0.416026,0.416026,2.49831e-11,0.416026,1.31805e-10,0.416108,8.20092e-05,0.45882,0.0427942,0.446286,0.03026,0.409109,-0.00691691
1.09873,0.515247,0.515247,1.56605e-11,0.515247,8.33504e-11,0.515311,6.36406e-05,0.556359,0.0411119,0.544318,0.0290705,0.508178,-0.00706925
1.10834,0.626081,0.626081,9.77656e-12,0.626081,5.24889e-11,0.626131,4.91842e-05,0.665416,0.0393342,0.653895,0.0278135,0.61912,-0.00696145
1.11795,0.748811,0.748811,6.07833e-12,0.748811,3.29165e-11,0.748848,3.7856e-05,0.78629,0.0374793,0.775312,0.0265018,0.742213,-0.00659747
1.12755,0.883719,0.883719,3.76358e-12,0.883719,2.05564e-11,0.883748,2.90177e-05,0.919284,0.0355656,0.908867,0.0251487,0.877728,-0.00599071
1.13716,1.03109,1.03109,2.3208e-12,1.03109,1.2784e-11,1.03111,2.21519e-05,1.0647,0.0336116,1.05486,0.023767,1.02593,-0.00516348
1.14676,1.19122,1.19122,1.42525e-12,1.19122,7.91727e-12,1.19124,1.68413e-05,1.22286,0.0316349,1.21359,0.0223692,1.18707,-0.00414625
1.15637,1.3644,1.3644,8.71696e-13,1.3644,4.88283e-12,1.36441,1.27515e-05,1.39405,0.0296526,1.38536,0.0209675,1.36142,-0.00297643
1.16598,1.55091,1.55091,5.30954e-13,1.55091,2.99886e-12,1.55092,9.61533e-06,1.57859,0.0276807,1.57048,0.0195732,1.54921,-0.00169708
1.17558,1.75106,1.75106,3.22083e-13,1.75106,1.83413e-12,1.75107,7.22082e-06,1.7768,0.0257342,1.76926,0.0181968,1.75071,-0.000355273
1.18519,1.96515,1.96515,1.9458e-13,1.96515,1.11711e-12,1.96515,5.40042e-06,1.98898,0.0238266,1.982,0.016848,1.96615,0.000999604
1.1948,2.19347,2.19347,1.1707e-13,2.19347,6.77562e-13,2.19348,4.02242e-06,2.21544,0.0219702,2.20901,0.0155353,2.19579,0.0023177
1.2044,2.43634,2.43634,7.01476e-14,2.43634,4.09255e-13,2.43634,2.98377e-06,2.45651,0.0201754,2.4506,0.0142662,2.43989,0.0035505
1.21401,2.69405,2.69405,4.186e-14,2.69405,2.46167e-13,2.69405,2.20426e-06,2.7125,0.0184515,2.7071,0.0130472,2.6987,0.00465264
1.22362,2.96692,2.96692,2.48773e-14,2.96692,1.47454e-13,2.96692,1.62173e-06,2.98372,0.0168058,2.9788,0.0118835,2.9725,0.00558357
