s,betaF
5.124999999999999556e-01,3.620707994613384439e+00
5.150000000000000133e-01,3.615567637507180354e+00
5.175000000000000711e-01,3.609496273061414851e+00
5.200000000000000178e-01,3.602495700928422639e+00
5.224999999999999645e-01,3.594567996192985948e+00
5.250000000000000222e-01,3.585715508757249648e+00
5.275000000000000799e-01,3.575940862644168217e+00
5.300000000000000266e-01,3.565246955219703917e+00
5.324999999999999734e-01,3.553636956333998231e+00
5.350000000000000311e-01,3.541114307381779458e+00
5.375000000000000888e-01,3.527682720282273809e+00
5.400000000000000355e-01,3.513346176378930874e+00
5.424999999999999822e-01,3.498108925259288515e+00
5.449999999999999289e-01,3.481975483495328927e+00
5.474999999999999867e-01,3.464950633304683780e+00
5.500000000000000444e-01,3.447039421133118342e+00
5.524999999999999911e-01,3.428247156158671149e+00
5.549999999999999378e-01,3.408579408717932413e+00
5.574999999999999956e-01,3.388042008654898130e+00
5.600000000000000533e-01,3.366641043592919491e+00
5.625000000000000000e-01,3.344382857130219211e+00
5.649999999999999467e-01,3.321274046959552084e+00
5.675000000000000044e-01,3.297321462912536472e+00
5.700000000000000622e-01,3.272532204929255339e+00
5.725000000000000089e-01,3.246913620953713941e+00
5.749999999999999556e-01,3.220473304755790078e+00
5.775000000000000133e-01,3.193219093680311094e+00
5.800000000000000711e-01,3.165159066323942394e+00
5.825000000000000178e-01,3.136301540140558952e+00
5.849999999999999645e-01,3.106655068975807676e+00
5.875000000000000222e-01,3.076228440531609376e+00
5.900000000000000799e-01,3.045030673761345508e+00
5.925000000000000266e-01,3.013071016196489094e+00
5.949999999999999734e-01,2.980358941205476508e+00
5.975000000000000311e-01,2.946904145185651469e+00
6.000000000000000888e-01,2.912716544689097464e+00
6.025000000000000355e-01,2.877806273483204169e+00
6.049999999999999822e-01,2.842183679546848918e+00
6.074999999999999289e-01,2.805859322003088518e+00
6.099999999999999867e-01,2.768843967989260246e+00
6.125000000000000444e-01,2.731148589465431709e+00
6.149999999999999911e-01,2.692784359962123286e+00
6.174999999999999378e-01,2.653762651268291695e+00
6.199999999999999956e-01,2.614095030060541891e+00
6.225000000000000533e-01,2.573793254474584291e+00
6.250000000000000000e-01,2.532869270619921398e+00
6.274999999999999467e-01,2.491335209038822551e+00
6.300000000000000044e-01,2.449203381110630406e+00
6.325000000000000622e-01,2.406486275402482722e+00
6.350000000000000089e-01,2.363196553967476188e+00
6.374999999999999556e-01,2.319347048591428706e+00
6.400000000000000133e-01,2.274950756989329026e+00
6.425000000000000711e-01,2.230020838952613271e+00
6.450000000000000178e-01,2.184570612448364368e+00
6.474999999999999645e-01,2.138613549671659175e+00
6.500000000000000222e-01,2.092163273052181527e+00
6.525000000000000799e-01,2.045233551216323331e+00
6.550000000000000266e-01,1.997838294905930123e+00
6.574999999999999734e-01,1.949991552854916765e+00
6.600000000000000311e-01,1.901707507625004734e+00
6.625000000000000888e-01,1.853000471401773819e+00
6.650000000000000355e-01,1.803884881752306324e+00
6.674999999999999822e-01,1.754375297345627249e+00
6.699999999999999289e-01,1.704486393637299368e+00
6.724999999999999867e-01,1.654232958519363361e+00
6.750000000000000444e-01,1.603629887936973919e+00
6.774999999999999911e-01,1.552692181472995703e+00
6.799999999999999378e-01,1.501434937901864775e+00
6.824999999999999956e-01,1.449873350714073528e+00
6.850000000000000533e-01,1.398022703612582962e+00
6.875000000000000000e-01,1.345898365982465261e+00
6.899999999999999467e-01,1.293515788335157790e+00
6.925000000000000044e-01,1.240890497728703856e+00
6.950000000000000622e-01,1.188038093165247222e+00
6.975000000000000089e-01,1.134974240967264958e+00
6.999999999999999556e-01,1.081714670133775424e+00
7.025000000000000133e-01,1.028275167678023738e+00
7.050000000000000711e-01,9.746715739479618890e-01
7.075000000000000178e-01,9.209197779308802012e-01
7.099999999999999645e-01,8.670357125436773948e-01
7.125000000000000222e-01,8.130353499100588799e-01
7.150000000000000799e-01,7.589346966261572014e-01
7.175000000000000266e-01,7.047497890159011291e-01
7.199999999999999734e-01,6.504966883775900044e-01
7.225000000000000311e-01,5.961914762230522413e-01
7.250000000000000888e-01,5.418502495108334926e-01
7.275000000000000355e-01,4.874891158747853837e-01
7.299999999999999822e-01,4.331241888495025449e-01
7.324999999999999289e-01,3.787715830939966111e-01
7.349999999999999867e-01,3.244474096150486986e-01
7.375000000000000444e-01,2.701677709916627812e-01
7.399999999999999911e-01,2.159487566019588911e-01
7.424999999999999378e-01,1.618064378540484682e-01
7.449999999999999956e-01,1.077568634221908184e-01
7.475000000000000533e-01,5.381605448969395411e-02
7.500000000000000000e-01,4.440892098500626162e-15
